Date,Close
5/2/2022 16:00:00,528.95
5/3/2022 16:00:00,528.08
5/4/2022 16:00:00,544.43
5/5/2022 16:00:00,517.32
5/6/2022 16:00:00,503.36
5/9/2022 16:00:00,498.83
5/10/2022 16:00:00,501.46
5/11/2022 16:00:00,489.08
5/12/2022 16:00:00,486.18
5/13/2022 16:00:00,497.27
5/16/2022 16:00:00,494.53
5/17/2022 16:00:00,490.47
5/18/2022 16:00:00,429.4
5/19/2022 16:00:00,422.93
5/20/2022 16:00:00,416.43
5/23/2022 16:00:00,429.48
5/24/2022 16:00:00,437.71
5/25/2022 16:00:00,440.11
5/26/2022 16:00:00,464.99
5/27/2022 16:00:00,470.76
5/31/2022 16:00:00,466.22
6/1/2022 16:00:00,456.99
6/2/2022 16:00:00,487.61
6/3/2022 16:00:00,476.25
6/6/2022 16:00:00,472.47
6/7/2022 16:00:00,471.78
6/8/2022 16:00:00,467.99
6/9/2022 16:00:00,472.05
6/10/2022 16:00:00,463.31
6/13/2022 16:00:00,452.25
6/14/2022 16:00:00,454.8
6/15/2022 16:00:00,458.79
6/16/2022 16:00:00,451.76
6/17/2022 16:00:00,446.69
6/21/2022 16:00:00,463.11
6/22/2022 16:00:00,459.96
6/23/2022 16:00:00,475
6/24/2022 16:00:00,484.37
6/27/2022 16:00:00,481.75
6/28/2022 16:00:00,468.61
6/29/2022 16:00:00,469.84
6/30/2022 16:00:00,479.28
